Time,GDP
1989 Q1,315946
1989 Q2,317925
1989 Q3,318139
1989 Q4,318355
1990 Q1,320418
1990 Q2,321991
1990 Q3,318578
1990 Q4,317429
1991 Q1,316429
1991 Q2,315958
1991 Q3,315193
1991 Q4,315669
1992 Q1,315631
1992 Q2,315196
1992 Q3,317131
1992 Q4,319248
1993 Q1,321451
1993 Q2,322977
1993 Q3,325512
1993 Q4,327688
1994 Q1,331506
1994 Q2,335294
1994 Q3,338943
1994 Q4,340781
1995 Q1,342037
1995 Q2,343279
1995 Q3,346656
1995 Q4,347458
1996 Q1,349384
1996 Q2,350120
1996 Q3,353981
1996 Q4,359441
1997 Q1,365887
1997 Q2,368979
1997 Q3,371488
1997 Q4,375935
1998 Q1,378525
1998 Q2,381241
1998 Q3,383238
1998 Q4,386036
1999 Q1,388351
1999 Q2,389518
1999 Q3,395738
1999 Q4,401153
2000 Q1,405110
2000 Q2,407731
2000 Q3,409290
2000 Q4,410460
2001 Q1,413970
2001 Q2,415874
2001 Q3,417821
2001 Q4,418764
2002 Q1,420979
2002 Q2,423711
2002 Q3,426683
2002 Q4,430438
2003 Q1,432853
2003 Q2,436157
2003 Q3,440440
2003 Q4,443924
2004 Q1,445908
2004 Q2,448330
2004 Q3,449436
2004 Q4,451003
2005 Q1,453744
2005 Q2,458115
2005 Q3,462156
2005 Q4,467203
2006 Q1,469679
2006 Q2,471304
2006 Q3,472400
2006 Q4,475414
2007 Q1,479140
2007 Q2,481362
2007 Q3,484647
2007 Q4,486514
2008 Q1,489449
2008 Q2,487244
2008 Q3,479983
2008 Q4,470358
2009 Q1,461881
2009 Q2,460431
2009 Q3,460722
2009 Q4,462152
2010 Q1,465380
2010 Q2,470655
2010 Q3,473954
2010 Q4,474526
2011 Q1,476720
2011 Q2,477202
2011 Q3,478726
2011 Q4,479335
2012 Q1,482583
2012 Q2,482299
2012 Q3,488205
2012 Q4,487000
2013 Q1,489236
2013 Q2,492451
2013 Q3,496229
2013 Q4,498839
2014 Q1,503492
2014 Q2,507551
2014 Q3,510988
2014 Q4,513852
2015 Q1,517165
2015 Q2,520984
2015 Q3,523783
2015 Q4,527344
2016 Q1,529673
2016 Q2,532731
2016 Q3,535103
2016 Q4,539059
2017 Q1,542562
2017 Q2,544248
2017 Q3,546579
2017 Q4,548781
2018 Q1,550080
2018 Q2,553087
2018 Q3,556581
2018 Q4,558448
2019 Q1,562033
2019 Q2,562779
2019 Q3,565362
2019 Q4,565109
2020 Q1,550205
2020 Q2,443193
2020 Q3,521073
2020 Q4,528902
2021 Q1,522712
2021 Q2,552237
2021 Q3,557698
